Number,expense_account,status,message
CR24080066,214102,updated,
CR24080065,214102,updated,
CR24080064,214102,updated,
CR24080063,214102,updated,
CR24080062,214102,updated,
CR24080061,214102,updated,
CR24080060,214102,updated,
CR24080059,214102,updated,
CR24080058,214102,updated,
CR24080057,214102,updated,
CR24080056,214102,updated,
CR24080055,214102,updated,
CR24080054,214102,updated,
CR24080053,214102,updated,
CR24080052,214102,updated,
CR24080051,214102,updated,
CR24080050,214102,updated,
CR24080049,214102,updated,
CR24080048,214102,updated,
CR24080047,214102,updated,
CR24080046,214102,updated,
CR24080045,214102,updated,
CR24080044,214102,updated,
CR24080043,214102,updated,
CR24080042,214102,updated,
CR24080041,214102,updated,
CR24080040,214102,updated,
CR24080039,214102,updated,
CR24080028,214102,updated,
CR24080027,214102,updated,
CR24080026,214102,updated,
CR24080025,214102,updated,
CR24080023,214102,updated,
CR24080022,214102,updated,
CR24070080,214102,updated,
CR24070079,214102,updated,
CR24070078,214102,updated,
CR24070077,214102,updated,
CR24070076,214102,updated,
CR24070075,214102,updated,
CR24070074,214102,updated,
CR25020018,214102,updated,
CR25020017,214102,updated,
CR25020016,214102,updated,
CR25020015,214102,updated,
CR25020014,214102,updated,
CR25020013,214102,updated,
CR25020012,214102,updated,
CR25020011,214102,updated,
CR25020010,214102,updated,
CR25020009,214102,updated,
CR25020008,214102,updated,
CR25020007,214102,updated,
CR25020006,214102,updated,
CR25020005,214102,updated,
CR25020004,214102,updated,
CR25020003,214102,updated,
CR25020002,214102,updated,
CR25020001,214102,updated,
CR25010017,214102,updated,
CR25010016,214102,updated,
CR25010015,214102,updated,
CR25010014,214102,updated,
CR25010013,214102,updated,
CR25010012,214102,updated,
CR25010011,214102,updated,
CR25010010,214102,updated,
CR25010009,214102,updated,
CR25010008,214102,updated,
CR25010007,214102,updated,
CR25010006,214102,updated,
CR25010005,214102,updated,
CR25010004,214102,updated,
CR25010003,214102,updated,
CR25010002,214102,updated,
CR25010001,214102,updated,
CR24120046,214102,updated,
CR24120045,214102,updated,
CR24120044,214102,updated,
CR24120041,214102,updated,
CR24120040,214102,updated,
CR24120038,214102,updated,
CR24120037,214102,updated,
CR24120036,214102,updated,
CR24120035,214102,updated,
CR24120034,214102,updated,
CR24120033,214102,updated,
CR24120032,214102,updated,
CR24120031,214102,updated,
CR24120030,214102,updated,
CR24120029,214102,updated,
CR24120028,214102,updated,
CR24120027,214102,updated,
CR24120026,214102,updated,
CR24120025,214102,updated,
CR24120024,214102,updated,
CR24120023,214102,updated,
CR24120022,214102,updated,
CR24120021,214102,updated,
CR24120020,214102,updated,
CR24120019,214102,updated,
CR24120018,214102,updated,
CR24120017,214102,updated,
CR24120016,214102,updated,
CR24120015,214102,updated,
CR24120014,214102,updated,
CR24120013,214102,updated,
CR24120012,214102,updated,
CR24120011,214102,updated,
CR24120010,214102,updated,
CR24120009,214102,updated,
CR24120008,214102,updated,
CR24120007,214102,updated,
CR24120006,214102,updated,
CR24120005,214102,updated,
CR24120004,214102,updated,
CR24120003,214102,updated,
CR24120002,214102,updated,
CR24110031,214102,updated,
CR24110030,214102,updated,
CR24110029,214102,updated,
CR24110027,214102,updated,
CR24110026,214102,updated,
CR24110025,214102,updated,
CR24110024,214102,updated,
CR24110023,214102,updated,
CR24110022,214102,updated,
CR24110021,214102,updated,
CR24110020,214102,updated,
CR24110018,214102,updated,
CR24110017,214102,updated,
CR24110016,214102,updated,
CR24110015,214102,updated,
CR24110014,214102,updated,
CR24110013,214102,updated,
CR24110012,214102,updated,
CR24110011,214102,updated,
CR24110010,214102,updated,
CR24110009,214102,updated,
CR24110008,214102,updated,
CR24110007,214102,updated,
CR24110006,214102,updated,
CR24110005,214102,updated,
CR24110004,214102,updated,
CR24110003,214102,updated,
CR24110002,214102,updated,
CR24110001,214102,updated,
CR24100036,214102,updated,
CR24100035,214102,updated,
CR24100034,214102,updated,
CR24100033,214102,updated,
CR24100030,214102,updated,
CR24100029,214102,updated,
CR24100023,214102,updated,
CR24100022,214102,updated,
CR24100021,214102,updated,
CR24100020,214102,updated,
CR24100019,214102,updated,
CR24100018,214102,updated,
CR24100017,214102,updated,
CR24100016,214102,updated,
CR24100015,214102,updated,
CR24100014,214102,updated,
CR24100013,214102,updated,
CR24100012,214102,updated,
CR24100011,214102,updated,
CR24100010,214102,updated,
CR24100009,214102,updated,
CR24100008,214102,updated,
CR24100007,214102,updated,
CR24100006,214102,updated,
CR24100005,214102,updated,
CR24100004,214102,updated,
CR24100003,214102,updated,
CR24100002,214102,updated,
CR24100001,214102,updated,
CR24090053,214102,updated,
CR24090052,214102,updated,
CR24090051,214102,updated,
CR24090050,214102,updated,
CR24090049,214102,updated,
CR24090048,214102,updated,
CR24090047,214102,updated,
CR24090046,214102,updated,
CR24090045,214102,updated,
CR24090042,214102,updated,
CR24090041,214102,updated,
CR24090040,214102,updated,
CR24090035,214102,updated,
CR24090034,214102,updated,
CR24090033,214102,updated,
CR24090032,214102,updated,
CR24090031,214102,updated,
CR24090030,214102,updated,
CR24090029,214102,updated,
CR24090028,214102,updated,
CR24090027,214102,updated,
CR24090024,214102,updated,
CR24090023,214102,updated,
CR24090022,214102,updated,
CR24090021,214102,updated,
CR24090020,214102,updated,
CR24090019,214102,updated,
CR24090018,214102,updated,
CR24090017,214102,updated,
CR24090016,214102,updated,
CR24090015,214102,updated,
CR24090014,214102,updated,
CR24090013,214102,updated,
CR24090012,214102,updated,
CR24090011,214102,updated,
CR24090010,214102,updated,
CR24090009,214102,updated,
CR24090008,214102,updated,
CR24090007,214102,updated,
CR24090006,214102,updated,
CR24090005,214102,updated,
CR24090004,214102,updated,
CR24090003,214102,updated,
CR24090002,214102,updated,
CR24090001,214102,updated,
CR24080071,214102,updated,
CR24080070,214102,updated,
CR24080069,214102,updated,
CR24080068,214102,updated,
CR24080067,214102,updated,
CR24080066,214102,updated,
CR24080065,214102,updated,
CR24080064,214102,updated,
CR24080063,214102,updated,
CR24080062,214102,updated,
CR24080061,214102,updated,
CR24080060,214102,updated,
CR24080059,214102,updated,
CR24080058,214102,updated,
CR24080057,214102,updated,
CR24080056,214102,updated,
CR24080055,214102,updated,
CR24080054,214102,updated,
CR24080053,214102,updated,
CR24080052,214102,updated,
CR24080051,214102,updated,
CR24080050,214102,updated,
CR24080049,214102,updated,
CR24080048,214102,updated,
CR24080047,214102,updated,
CR24080046,214102,updated,
CR24080045,214102,updated,
CR24080044,214102,updated,
CR24080043,214102,updated,
CR24080042,214102,updated,
CR24080041,214102,updated,
CR24080040,214102,updated,
CR24080039,214102,updated,
CR24080028,214102,updated,
CR24080027,214102,updated,
CR24080026,214102,updated,
CR24080025,214102,updated,
CR24080023,214102,updated,
CR24080022,214102,updated,
CR24070080,214102,updated,
CR24070079,214102,updated,
CR24070078,214102,updated,
CR24070077,214102,updated,
CR24070076,214102,updated,
CR24070075,214102,updated,
CR24070074,214102,updated,
CR24070073,214102,updated,
CR24070072,214102,updated,
CR24070071,214102,updated,
CR24070070,214102,updated,
CR24070069,214102,updated,
CR24070068,214102,updated,
CR24070067,214102,updated,
CR24070065,214102,updated,
CR24070063,214102,updated,
CR24070062,214102,updated,
CR24070061,214102,updated,
CR24070054,214102,updated,
CR24070049,214102,updated,
CR24070048,214102,updated,
CR24070017,214102,updated,
CR24070016,214102,updated,
CR24070009,214102,updated,
CR24070008,214102,updated,
CR24070006,214102,updated,
CR24070005,214102,updated,
CR24070002,214102,updated,
CR24060033,214102,updated,
CR24060032,214102,updated,
CR24060026,214102,updated,
CR24060025,214102,updated,
CR24060006,214102,updated,
CR24060003,214102,updated,
CR24060002,214102,updated,
CR24060001,214102,updated,
CR24040023,214102,updated,
CR24030028,214102,updated,
CR24020033,214102,updated,
CR24020032,214102,updated,
CR24020031,214102,updated,
CR24010028,214102,updated,
CR24010001,214102,updated,
CR23120050,214102,updated,
CR23120049,214102,updated,
CR23120044,214102,updated,
CR23120031,214102,updated,
CR23110025,214102,updated,
CR23100029,214102,updated,
CR23090039,214102,updated,
CR23040031,214102,updated,
CR23040027,214102,updated,
CR22110028,214102,updated,
CR22100024,214102,updated,
CR22090031,214102,updated,
CR22090030,214102,updated,
CR22080026,214102,updated,
CR22070032,214102,updated,
CR22060036,214102,updated,
CR22050027,214102,updated,
CR22040029,214102,updated,
CR22040028,214102,updated,
CR22030036,214102,updated,
CR22030035,214102,updated,
CR22020027,214102,updated,
CR22020026,214102,updated,
CR22020025,214102,updated,
CR22020024,214102,updated,
CR18090037,214102,updated,
CR18060039,214102,updated,
CR18030032,214102,updated,
OEP6802081,214102,updated,
OEP6802080,214102,updated,
OEP6802079,214102,updated,
OEP6802078,214102,updated,
OEP6802077,214102,updated,
OEP6802076,214102,updated,
OEP6802075,214102,updated,
OEP6802074,214102,updated,
OEP6802073,214102,updated,
OEP6802072,214102,updated,
OEP6802069,214102,updated,
OEP6802068,214102,updated,
OEP6802067,214102,updated,
OEP6802065,214102,updated,
OEP6802064,214102,updated,
OEP6802063,214102,updated,
OEP6802062,214102,updated,
OEP6802058,214102,updated,
OEP6802055,214102,updated,
OEP6802052,214102,updated,
OEP6802051,214102,updated,
OEP6802047,214102,updated,
OEP6802043,214102,updated,
OEP6802041,214102,updated,
OEP6802011,214102,updated,
BOEP6802013,214102,updated,
BOEP6802012,214102,updated,
BOEP6802011,214102,updated,
BOEP6802010,214102,updated,
BOEP6802009,214102,updated,
BOEP6802008,214102,updated,
BOEP6802006,214102,updated,
BOEP6802002,214102,updated,
OEP6802066,214102,updated,
OEP6802053,214102,updated,
OEP6802049,214102,updated,
OEP6802042,214102,updated,
OEP6802054,214102,updated,
OEP6802060,214102,updated,
OEP6802056,214102,updated,
OEP6802045,214102,updated,
OEP6802039,214102,updated,
BOEP6802007,214102,updated,
OEP6802071,214102,updated,
OEP6802040,214102,updated,
OEP6802044,214102,updated,
BOEP6802004,214102,updated,
OEP6802038,214102,updated,
OEP6802029,214102,updated,
OEP6802061,214102,updated,
OEP6802050,214102,updated,
OEP6802059,214102,updated,
OEP6802025,214102,updated,
OEP6802046,214102,updated,
OEP6802057,214102,updated,
OEP6802070,214102,updated,
OEP6802017,214102,updated,
BOEP6802005,214102,updated,
OEP6802010,214102,updated,
OEP6802048,214102,updated,
OEP6801070,214102,updated,
OEP6801069,214102,updated,
OEP6801068,214102,updated,
OEP6801067,214102,updated,
OEP6801066,214102,updated,
OEP6801064,214102,updated,
OEP6801062,214102,updated,
OEP6801060,214102,updated,
OEP6801051,214102,updated,
OEP6801046,214102,updated,
OEP6801045,214102,updated,
OEP6801044,214102,updated,
BOEP6801018,214102,updated,
BOEP6801016,214102,updated,
