Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-07 15:54:11,Bill,GD-0043210,บริษัท ไทยอุตสาหกรรมเครื่องปั้นดินเผา จำกัด (สำนักงานใหญ่),Success,Successfully processed,26
2025-11-07 15:54:12,Bill,GD-0043237,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,31
2025-11-07 15:54:12,Bill,GD-0043238,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,32
2025-11-07 15:54:13,Bill,GD-0043239,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,33
2025-11-07 15:54:14,Bill,GD-0043240,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,34
2025-11-07 15:54:14,Bill,GD-0043284,บริษัท ไทยอุตสาหกรรมเครื่องปั้นดินเผา จำกัด (สำนักงานใหญ่),Success,Successfully processed,48
2025-11-07 15:54:15,Bill,GD-0043474,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาลำลูกกา) สาขาที่ 00058,Success,Successfully processed,51
2025-11-07 15:54:16,Bill,GD-0043475,เจ้าหนี้การค้าในประเทศ,Success,Successfully processed,49
2025-11-07 15:54:17,Bill,GI-0003261,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,40
2025-11-07 15:54:18,Bill,GI-0003264,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,43
2025-11-07 15:54:18,Bill,GI-0003264,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,45
2025-11-07 15:54:19,Bill,GI-0003265,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,41
2025-11-07 15:54:21,Bill,GI-0003269,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,42
2025-11-07 15:54:21,Bill,RO-0010545,บริษัท ลานนา ไม้อัดไทย จำกัด (สาขาที่ 00001),Success,Successfully processed,25
2025-11-07 15:54:22,Bill,RO-0010671,บริษัท เฮเฟเล่ (ประเทศไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,24
2025-11-07 15:54:23,Bill,RO-0010771,บริษัท ออฟฟิศเมท (ไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,36
2025-11-07 15:54:23,Bill,RO-0010780,บริษัท ดูโฮม จำกัด (มหาชน) (สาขาที่ 00003),Success,Successfully processed,39
2025-11-07 15:54:24,Bill,RO-0010789,บริษัท วี เอส เอท อินเตอร์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,47
